t,S
0.000000,1.000000
0.010000,1.000000
0.020000,1.000000
0.030000,1.000000
0.040000,1.000000
0.050000,1.000000
0.060000,1.000000
0.070000,1.000000
0.080000,1.000000
0.090000,1.000000
0.100000,1.000000
0.110000,1.000000
0.120000,1.000000
0.130000,1.000000
0.140000,1.000000
0.150000,1.000000
0.160000,1.000000
0.170000,1.000000
0.180000,1.000000
0.190000,1.000000
0.200000,1.000000
0.210000,1.000000
0.220000,1.000000
0.230000,1.000000
0.240000,1.000000
0.250000,1.000000
0.260000,1.000000
0.270000,1.000000
0.280000,1.000000
0.290000,1.000000
0.300000,1.000000
0.310000,1.000000
0.320000,1.000000
0.330000,1.000000
0.340000,1.000000
0.350000,1.000000
0.360000,1.000000
0.370000,1.000000
0.380000,1.000000
0.390000,1.000000
0.400000,1.000000
0.410000,1.000000
0.420000,1.000000
0.430000,1.000000
0.440000,1.000000
0.450000,1.000000
0.460000,1.000000
0.470000,1.000000
0.480000,1.000000
0.490000,1.000000
0.500000,1.000000
0.510000,1.000000
0.520000,1.000000
0.530000,1.000000
0.540000,1.000000
0.550000,1.000000
0.560000,1.000000
0.570000,1.000000
0.580000,1.000000
0.590000,1.000000
0.600000,1.000000
0.610000,1.000000
0.620000,1.000000
0.630000,1.000000
0.640000,1.000000
0.650000,1.000000
0.660000,1.000000
0.670000,1.000000
0.680000,1.000000
0.690000,1.000000
0.700000,1.000000
0.710000,1.000000
0.720000,1.000000
0.730000,1.000000
0.740000,1.000000
0.750000,1.000000
0.760000,1.000000
0.770000,1.000000
0.780000,1.000000
0.790000,1.000000
0.800000,1.000000
0.810000,1.000000
0.820000,1.000000
0.830000,1.000000
0.840000,1.000000
0.850000,1.000000
0.860000,1.000000
0.870000,1.000000
0.880000,1.000000
0.890000,1.000000
0.900000,1.000000
0.910000,1.000000
0.920000,1.000000
0.930000,1.000000
0.940000,1.000000
0.950000,1.000000
0.960000,1.000000
0.970000,1.000000
0.980000,1.000000
0.990000,1.000000
1.000000,1.000000
1.010000,1.000000
1.020000,1.000000
1.030000,1.000000
1.040000,1.000000
1.050000,1.000000
1.060000,1.000000
1.070000,1.000000
1.080000,1.000000
1.090000,1.000000
1.100000,1.000000
1.110000,1.000000
1.120000,1.000000
1.130000,1.000000
1.140000,1.000000
1.150000,1.000000
1.160000,1.000000
1.170000,1.000000
1.180000,1.000000
1.190000,1.000000
1.200000,1.000000
1.210000,1.000000
1.220000,1.000000
1.230000,1.000000
1.240000,1.000000
1.250000,1.000000
1.260000,1.000000
1.270000,1.000000
1.280000,1.000000
1.290000,1.000000
1.300000,1.000000
1.310000,1.000000
1.320000,1.000000
1.330000,1.000000
1.340000,1.000000
1.350000,1.000000
1.360000,1.000000
1.370000,1.000000
1.380000,1.000000
1.390000,1.000000
1.400000,1.000000
1.410000,1.000000
1.420000,1.000000
1.430000,1.000000
1.440000,1.000000
1.450000,1.000000
1.460000,1.000000
1.470000,1.000000
1.480000,1.000000
1.490000,1.000000
1.500000,1.000000
1.510000,1.000000
1.520000,1.000000
1.530000,1.000000
1.540000,1.000000
1.550000,1.000000
1.560000,1.000000
1.570000,1.000000
1.580000,1.000000
1.590000,1.000000
1.600000,1.000000
1.610000,1.000000
1.620000,1.000000
1.630000,1.000000
1.640000,1.000000
1.650000,1.000000
1.660000,1.000000
1.670000,1.000000
1.680000,1.000000
1.690000,1.000000
1.700000,1.000000
1.710000,1.000000
1.720000,1.000000
1.730000,1.000000
1.740000,1.000000
1.750000,1.000000
1.760000,1.000000
1.770000,1.000000
1.780000,1.000000
1.790000,1.000000
1.800000,1.000000
1.810000,1.000000
1.820000,1.000000
1.830000,1.000000
1.840000,1.000000
1.850000,1.000000
1.860000,1.000000
1.870000,1.000000
1.880000,1.000000
1.890000,1.000000
1.900000,1.000000
1.910000,1.000000
1.920000,1.000000
1.930000,1.000000
1.940000,1.000000
1.950000,1.000000
1.960000,1.000000
1.970000,1.000000
1.980000,1.000000
1.990000,1.000000
2.000000,1.000000
2.010000,1.000000
2.020000,1.000000
2.030000,1.000000
2.040000,1.000000
2.050000,1.000000
2.060000,1.000000
2.070000,1.000000
2.080000,1.000000
2.090000,1.000000
2.100000,1.000000
2.110000,1.000000
2.120000,1.000000
2.130000,1.000000
2.140000,1.000000
2.150000,1.000000
2.160000,1.000000
2.170000,1.000000
2.180000,1.000000
2.190000,1.000000
2.200000,1.000000
2.210000,1.000000
2.220000,1.000000
2.230000,1.000000
2.240000,1.000000
2.250000,1.000000
2.260000,1.000000
2.270000,1.000000
2.280000,1.000000
2.290000,1.000000
2.300000,1.000000
2.310000,1.000000
2.320000,1.000000
2.330000,1.000000
2.340000,1.000000
2.350000,1.000000
2.360000,1.000000
2.370000,1.000000
2.380000,1.000000
2.390000,1.000000
2.400000,1.000000
2.410000,1.000000
2.420000,1.000000
2.430000,1.000000
2.440000,1.000000
2.450000,1.000000
2.460000,1.000000
2.470000,1.000000
2.480000,1.000000
2.490000,1.000000
2.500000,1.000000
2.510000,1.000000
2.520000,1.000000
2.530000,1.000000
2.540000,1.000000
2.550000,1.000000
2.560000,1.000000
2.570000,1.000000
2.580000,1.000000
2.590000,1.000000
2.600000,1.000000
2.610000,1.000000
2.620000,1.000000
2.630000,1.000000
2.640000,1.000000
2.650000,1.000000
2.660000,1.000000
2.670000,1.000000
2.680000,1.000000
2.690000,1.000000
2.700000,1.000000
2.710000,1.000000
2.720000,1.000000
2.730000,0.999750
2.740000,0.999750
2.750000,0.999750
2.760000,0.999750
2.770000,0.999750
2.780000,0.999750
2.790000,0.999750
2.800000,0.999750
2.810000,0.999500
2.820000,0.999500
2.830000,0.999500
2.840000,0.999500
2.850000,0.999500
2.860000,0.999500
2.870000,0.999500
2.880000,0.999500
2.890000,0.999500
2.900000,0.999500
2.910000,0.999500
2.920000,0.999500
2.930000,0.999500
2.940000,0.999500
2.950000,0.999500
2.960000,0.999500
2.970000,0.999500
2.980000,0.999500
2.990000,0.999500
3.000000,0.999500
3.010000,0.999500
3.020000,0.999500
3.030000,0.999500
3.040000,0.999500
3.050000,0.999500
3.060000,0.999500
3.070000,0.999500
3.080000,0.999500
3.090000,0.999500
3.100000,0.999500
3.110000,0.999250
3.120000,0.999250
3.130000,0.999250
3.140000,0.999250
3.150000,0.999250
3.160000,0.999250
3.170000,0.999250
3.180000,0.999250
3.190000,0.999250
3.200000,0.999250
3.210000,0.999250
3.220000,0.999250
3.230000,0.999250
3.240000,0.999250
3.250000,0.999250
3.260000,0.999250
3.270000,0.999250
3.280000,0.999250
3.290000,0.999250
3.300000,0.999250
3.310000,0.999250
3.320000,0.999250
3.330000,0.999250
3.340000,0.999250
3.350000,0.999250
3.360000,0.999250
3.370000,0.999000
3.380000,0.999000
3.390000,0.999000
3.400000,0.999000
3.410000,0.999000
3.420000,0.999000
3.430000,0.999000
3.440000,0.999000
3.450000,0.999000
3.460000,0.999000
3.470000,0.999000
3.480000,0.999000
3.490000,0.999000
3.500000,0.999000
3.510000,0.999000
3.520000,0.999000
3.530000,0.999000
3.540000,0.999000
3.550000,0.999000
3.560000,0.999000
3.570000,0.999000
3.580000,0.999000
3.590000,0.999000
3.600000,0.998750
3.610000,0.998750
3.620000,0.998750
3.630000,0.998750
3.640000,0.998750
3.650000,0.998750
3.660000,0.998750
3.670000,0.998750
3.680000,0.998750
3.690000,0.998750
3.700000,0.998750
3.710000,0.998750
3.720000,0.998750
3.730000,0.998750
3.740000,0.998750
3.750000,0.998750
3.760000,0.998750
3.770000,0.998500
3.780000,0.998500
3.790000,0.998500
3.800000,0.998500
3.810000,0.998500
3.820000,0.998500
3.830000,0.998500
3.840000,0.998500
3.850000,0.998500
3.860000,0.998500
3.870000,0.998500
3.880000,0.998500
3.890000,0.998500
3.900000,0.998500
3.910000,0.998500
3.920000,0.998500
3.930000,0.998500
3.940000,0.998500
3.950000,0.998500
3.960000,0.998500
3.970000,0.998250
3.980000,0.998250
3.990000,0.998250
4.000000,0.998250
4.010000,0.998250
4.020000,0.998250
4.030000,0.998250
4.040000,0.998250
4.050000,0.998250
4.060000,0.998250
4.070000,0.998250
4.080000,0.998250
4.090000,0.998250
4.100000,0.998250
4.110000,0.998250
4.120000,0.998000
4.130000,0.998000
4.140000,0.997750
4.150000,0.997750
4.160000,0.997750
4.170000,0.997750
4.180000,0.997750
4.190000,0.997750
4.200000,0.997750
4.210000,0.997750
4.220000,0.997750
4.230000,0.997750
4.240000,0.997500
4.250000,0.997500
4.260000,0.997250
4.270000,0.997250
4.280000,0.997250
4.290000,0.997250
4.300000,0.997250
4.310000,0.997250
4.320000,0.997250
4.330000,0.997250
4.340000,0.997250
4.350000,0.997250
4.360000,0.997250
4.370000,0.997250
4.380000,0.997250
4.390000,0.997250
4.400000,0.997250
4.410000,0.997250
4.420000,0.997250
4.430000,0.997250
4.440000,0.997250
4.450000,0.997250
4.460000,0.997000
4.470000,0.997000
4.480000,0.996500
4.490000,0.996500
4.500000,0.996500
4.510000,0.996500
4.520000,0.996500
4.530000,0.996500
4.540000,0.996500
4.550000,0.996500
4.560000,0.996500
4.570000,0.996500
4.580000,0.996500
4.590000,0.996500
4.600000,0.996500
4.610000,0.996500
4.620000,0.996500
4.630000,0.996500
4.640000,0.996500
4.650000,0.996500
4.660000,0.996500
4.670000,0.996500
4.680000,0.996500
4.690000,0.996500
4.700000,0.996500
4.710000,0.996500
4.720000,0.996500
4.730000,0.996500
4.740000,0.996500
4.750000,0.996500
4.760000,0.996500
4.770000,0.996500
4.780000,0.996500
4.790000,0.996500
4.800000,0.996500
4.810000,0.996500
4.820000,0.996500
4.830000,0.996500
4.840000,0.996500
4.850000,0.996500
4.860000,0.996500
4.870000,0.996500
4.880000,0.996500
4.890000,0.996500
4.900000,0.996250
4.910000,0.996250
4.920000,0.996250
4.930000,0.996250
4.940000,0.996250
4.950000,0.996250
4.960000,0.996250
4.970000,0.996250
4.980000,0.996250
4.990000,0.996000
5.000000,0.996000
5.010000,0.996000
5.020000,0.996000
5.030000,0.995750
5.040000,0.995750
5.050000,0.995750
5.060000,0.995750
5.070000,0.995750
5.080000,0.995750
5.090000,0.995750
5.100000,0.995750
5.110000,0.995750
5.120000,0.995500
5.130000,0.995500
5.140000,0.995500
5.150000,0.995500
5.160000,0.995500
5.170000,0.995500
5.180000,0.995500
5.190000,0.995500
5.200000,0.995500
5.210000,0.995500
5.220000,0.995500
5.230000,0.995500
5.240000,0.995500
5.250000,0.995500
5.260000,0.995500
5.270000,0.995500
5.280000,0.995500
5.290000,0.995500
5.300000,0.995500
5.310000,0.995500
5.320000,0.995500
5.330000,0.995500
5.340000,0.995500
5.350000,0.995500
5.360000,0.995500
5.370000,0.995500
5.380000,0.995500
5.390000,0.995500
5.400000,0.995500
5.410000,0.995500
5.420000,0.995500
5.430000,0.995500
5.440000,0.995500
5.450000,0.995500
5.460000,0.995500
5.470000,0.995250
5.480000,0.995250
5.490000,0.994500
5.500000,0.994500
5.510000,0.994500
5.520000,0.994500
5.530000,0.994500
5.540000,0.994500
5.550000,0.994500
5.560000,0.994500
5.570000,0.994500
5.580000,0.994500
5.590000,0.994500
5.600000,0.994500
5.610000,0.994250
5.620000,0.994250
5.630000,0.994000
5.640000,0.994000
5.650000,0.994000
5.660000,0.994000
5.670000,0.994000
5.680000,0.993750
5.690000,0.993750
5.700000,0.993750
5.710000,0.993750
5.720000,0.993750
5.730000,0.993750
5.740000,0.993750
5.750000,0.993750
5.760000,0.993750
5.770000,0.993750
5.780000,0.993750
5.790000,0.993500
5.800000,0.993500
5.810000,0.993250
5.820000,0.993250
5.830000,0.993250
5.840000,0.993250
5.850000,0.993250
5.860000,0.993250
5.870000,0.993250
5.880000,0.993250
5.890000,0.993250
5.900000,0.993250
5.910000,0.993000
5.920000,0.993000
5.930000,0.993000
5.940000,0.993000
5.950000,0.993000
5.960000,0.993000
5.970000,0.993000
5.980000,0.993000
5.990000,0.993000
6.000000,0.993000
6.010000,0.993000
6.020000,0.993000
6.030000,0.993000
6.040000,0.993000
6.050000,0.993000
6.060000,0.993000
6.070000,0.993000
6.080000,0.993000
6.090000,0.993000
6.100000,0.993000
6.110000,0.993000
6.120000,0.993000
6.130000,0.993000
6.140000,0.993000
6.150000,0.993000
6.160000,0.993000
6.170000,0.993000
6.180000,0.993000
6.190000,0.993000
6.200000,0.993000
6.210000,0.993000
6.220000,0.993000
6.230000,0.993000
6.240000,0.993000
6.250000,0.993000
6.260000,0.993000
6.270000,0.993000
6.280000,0.993000
6.290000,0.993000
6.300000,0.993000
6.310000,0.993000
6.320000,0.993000
6.330000,0.992500
6.340000,0.992500
6.350000,0.992500
6.360000,0.992500
6.370000,0.992500
6.380000,0.992500
6.390000,0.992500
6.400000,0.992250
6.410000,0.992250
6.420000,0.992250
6.430000,0.992250
6.440000,0.992000
6.450000,0.992000
6.460000,0.992000
6.470000,0.991750
6.480000,0.991750
6.490000,0.991750
6.500000,0.991500
6.510000,0.991500
6.520000,0.991500
6.530000,0.991500
6.540000,0.991500
6.550000,0.991250
6.560000,0.991250
6.570000,0.991000
6.580000,0.991000
6.590000,0.991000
6.600000,0.991000
6.610000,0.991000
6.620000,0.991000
6.630000,0.991000
6.640000,0.991000
6.650000,0.991000
6.660000,0.991000
6.670000,0.991000
6.680000,0.991000
6.690000,0.990750
6.700000,0.990750
6.710000,0.990750
6.720000,0.990750
6.730000,0.990750
6.740000,0.990500
6.750000,0.990500
6.760000,0.990250
6.770000,0.990250
6.780000,0.990250
6.790000,0.990250
6.800000,0.990250
6.810000,0.990250
6.820000,0.990250
6.830000,0.990250
6.840000,0.990250
6.850000,0.990250
6.860000,0.990250
6.870000,0.990250
6.880000,0.990250
6.890000,0.990250
6.900000,0.990250
6.910000,0.990250
6.920000,0.990250
6.930000,0.990000
6.940000,0.990000
6.950000,0.990000
6.960000,0.990000
6.970000,0.989750
6.980000,0.989750
6.990000,0.989750
7.000000,0.989500
7.010000,0.989500
7.020000,0.989500
7.030000,0.989250
7.040000,0.989250
7.050000,0.989000
7.060000,0.988750
7.070000,0.988750
7.080000,0.988750
7.090000,0.988750
7.100000,0.988750
7.110000,0.988750
7.120000,0.988750
7.130000,0.988750
7.140000,0.988750
7.150000,0.988500
7.160000,0.988500
7.170000,0.988500
7.180000,0.988500
7.190000,0.988250
7.200000,0.988250
7.210000,0.988250
7.220000,0.988000
7.230000,0.988000
7.240000,0.988000
7.250000,0.988000
7.260000,0.988000
7.270000,0.988000
7.280000,0.988000
7.290000,0.988000
7.300000,0.988000
7.310000,0.988000
7.320000,0.988000
7.330000,0.988000
7.340000,0.988000
7.350000,0.987750
7.360000,0.987750
7.370000,0.987750
7.380000,0.987500
7.390000,0.987500
7.400000,0.987500
7.410000,0.987500
7.420000,0.987500
7.430000,0.987500
7.440000,0.987500
7.450000,0.987500
7.460000,0.987500
7.470000,0.987500
7.480000,0.987500
7.490000,0.987500
7.500000,0.987500
7.510000,0.987500
7.520000,0.987250
7.530000,0.987250
7.540000,0.987000
7.550000,0.987000
7.560000,0.987000
7.570000,0.987000
7.580000,0.987000
7.590000,0.986750
7.600000,0.986750
7.610000,0.986750
7.620000,0.986750
7.630000,0.986750
7.640000,0.986500
7.650000,0.986250
7.660000,0.986250
7.670000,0.986250
7.680000,0.986250
7.690000,0.986250
7.700000,0.985750
7.710000,0.985750
7.720000,0.985500
7.730000,0.985500
7.740000,0.985500
7.750000,0.985250
7.760000,0.985250
7.770000,0.985250
7.780000,0.985000
7.790000,0.985000
7.800000,0.985000
7.810000,0.985000
7.820000,0.985000
7.830000,0.985000
7.840000,0.985000
7.850000,0.985000
7.860000,0.984750
7.870000,0.984750
7.880000,0.984750
7.890000,0.984750
7.900000,0.984750
7.910000,0.984750
7.920000,0.984750
7.930000,0.984750
7.940000,0.984750
7.950000,0.984750
7.960000,0.984750
7.970000,0.984500
7.980000,0.984500
7.990000,0.984250
8.000000,0.984000
8.010000,0.984000
8.020000,0.984000
8.030000,0.984000
8.040000,0.984000
8.050000,0.984000
8.060000,0.984000
8.070000,0.984000
8.080000,0.984000
8.090000,0.984000
8.100000,0.984000
8.110000,0.983750
8.120000,0.983750
8.130000,0.983750
8.140000,0.983750
8.150000,0.983500
8.160000,0.983500
8.170000,0.983500
8.180000,0.983500
8.190000,0.983500
8.200000,0.983500
8.210000,0.983500
8.220000,0.983500
8.230000,0.983000
8.240000,0.983000
8.250000,0.982750
8.260000,0.982500
8.270000,0.982500
8.280000,0.982500
8.290000,0.982250
8.300000,0.982250
8.310000,0.982250
8.320000,0.982250
8.330000,0.982250
8.340000,0.982250
8.350000,0.982250
8.360000,0.982250
8.370000,0.982250
8.380000,0.982250
8.390000,0.982250
8.400000,0.982250
8.410000,0.982250
8.420000,0.982250
8.430000,0.982000
8.440000,0.982000
8.450000,0.982000
8.460000,0.982000
8.470000,0.982000
8.480000,0.981750
8.490000,0.981750
8.500000,0.981750
8.510000,0.981750
8.520000,0.981500
8.530000,0.981500
8.540000,0.981500
8.550000,0.981500
8.560000,0.981500
8.570000,0.981500
8.580000,0.981250
8.590000,0.981250
8.600000,0.981250
8.610000,0.981250
8.620000,0.981250
8.630000,0.981250
8.640000,0.981250
8.650000,0.981000
8.660000,0.981000
8.670000,0.980750
8.680000,0.980750
8.690000,0.980750
8.700000,0.980750
8.710000,0.980750
8.720000,0.980750
8.730000,0.980500
8.740000,0.980500
8.750000,0.980250
8.760000,0.980250
8.770000,0.980250
8.780000,0.980250
8.790000,0.980250
8.800000,0.980250
8.810000,0.980250
8.820000,0.980250
8.830000,0.980000
8.840000,0.980000
8.850000,0.979750
8.860000,0.979750
8.870000,0.979750
8.880000,0.979750
8.890000,0.979750
8.900000,0.979500
8.910000,0.979500
8.920000,0.979500
8.930000,0.979500
8.940000,0.979500
8.950000,0.979250
8.960000,0.979250
8.970000,0.979250
8.980000,0.979250
8.990000,0.979250
9.000000,0.979250
9.010000,0.979250
9.020000,0.979250
9.030000,0.979250
9.040000,0.979000
9.050000,0.979000
9.060000,0.979000
9.070000,0.979000
9.080000,0.979000
9.090000,0.979000
9.100000,0.979000
9.110000,0.979000
9.120000,0.979000
9.130000,0.979000
9.140000,0.979000
9.150000,0.979000
9.160000,0.978750
9.170000,0.978750
9.180000,0.978750
9.190000,0.978500
9.200000,0.978500
9.210000,0.978500
9.220000,0.978500
9.230000,0.978500
9.240000,0.978500
9.250000,0.978500
9.260000,0.978250
9.270000,0.978250
9.280000,0.978250
9.290000,0.978250
9.300000,0.978250
9.310000,0.978250
9.320000,0.978250
9.330000,0.978250
9.340000,0.978250
9.350000,0.978250
9.360000,0.978250
9.370000,0.978250
9.380000,0.978250
9.390000,0.978000
9.400000,0.978000
9.410000,0.978000
9.420000,0.977750
9.430000,0.977750
9.440000,0.977750
9.450000,0.977750
9.460000,0.977750
9.470000,0.977750
9.480000,0.977750
9.490000,0.977750
9.500000,0.977750
9.510000,0.977750
9.520000,0.977750
9.530000,0.977500
9.540000,0.977500
9.550000,0.977500
9.560000,0.977250
9.570000,0.977250
9.580000,0.977000
9.590000,0.977000
9.600000,0.977000
9.610000,0.977000
9.620000,0.977000
9.630000,0.977000
9.640000,0.976750
9.650000,0.976500
9.660000,0.976500
9.670000,0.976500
9.680000,0.976500
9.690000,0.976500
9.700000,0.976500
9.710000,0.976500
9.720000,0.976500
9.730000,0.976000
9.740000,0.975750
9.750000,0.975750
9.760000,0.975750
9.770000,0.975750
9.780000,0.975750
9.790000,0.975750
9.800000,0.975750
9.810000,0.975750
9.820000,0.975750
9.830000,0.975750
9.840000,0.975750
9.850000,0.975750
9.860000,0.975500
9.870000,0.975250
9.880000,0.975250
9.890000,0.975250
9.900000,0.975250
9.910000,0.975000
9.920000,0.975000
9.930000,0.975000
9.940000,0.975000
9.950000,0.974750
9.960000,0.974500
9.970000,0.974500
9.980000,0.974500
9.990000,0.974500
10.000000,0.974250
10.010000,0.974250
10.020000,0.974000
10.030000,0.974000
10.040000,0.974000
10.050000,0.973750
10.060000,0.973500
10.070000,0.973500
10.080000,0.973500
10.090000,0.973500
10.100000,0.973250
10.110000,0.973250
10.120000,0.973000
10.130000,0.973000
10.140000,0.972750
10.150000,0.972750
10.160000,0.972750
10.170000,0.972750
10.180000,0.972750
10.190000,0.972750
10.200000,0.972750
10.210000,0.972750
10.220000,0.972000
10.230000,0.972000
10.240000,0.972000
10.250000,0.972000
10.260000,0.972000
10.270000,0.972000
10.280000,0.971500
10.290000,0.971500
10.300000,0.971250
10.310000,0.971000
10.320000,0.971000
10.330000,0.971000
10.340000,0.971000
10.350000,0.971000
10.360000,0.971000
10.370000,0.970750
10.380000,0.970750
10.390000,0.970750
10.400000,0.970750
10.410000,0.970750
10.420000,0.970750
10.430000,0.970500
10.440000,0.970500
10.450000,0.970500
10.460000,0.970500
10.470000,0.970500
10.480000,0.970500
10.490000,0.970500
10.500000,0.970500
10.510000,0.970500
10.520000,0.970500
10.530000,0.970500
10.540000,0.970500
10.550000,0.970500
10.560000,0.970500
10.570000,0.970500
10.580000,0.970500
10.590000,0.970500
10.600000,0.970500
10.610000,0.970500
10.620000,0.970500
10.630000,0.970250
10.640000,0.970250
10.650000,0.970250
10.660000,0.970250
10.670000,0.970250
10.680000,0.970250
10.690000,0.970250
10.700000,0.970250
10.710000,0.970250
10.720000,0.970250
10.730000,0.970250
10.740000,0.970250
10.750000,0.970000
10.760000,0.970000
10.770000,0.970000
10.780000,0.970000
10.790000,0.970000
10.800000,0.970000
10.810000,0.970000
10.820000,0.970000
10.830000,0.970000
10.840000,0.970000
10.850000,0.970000
10.860000,0.970000
10.870000,0.970000
10.880000,0.970000
10.890000,0.970000
10.900000,0.970000
10.910000,0.969750
10.920000,0.969750
10.930000,0.969750
10.940000,0.969750
10.950000,0.969750
10.960000,0.969750
10.970000,0.969750
10.980000,0.969750
10.990000,0.969750
11.000000,0.969750
11.010000,0.969750
11.020000,0.969750
11.030000,0.969750
11.040000,0.969750
11.050000,0.969750
11.060000,0.969750
11.070000,0.969750
11.080000,0.969750
11.090000,0.969750
11.100000,0.969750
11.110000,0.969750
11.120000,0.969750
11.130000,0.969750
11.140000,0.969750
11.150000,0.969750
11.160000,0.969500
11.170000,0.969500
11.180000,0.969500
11.190000,0.969500
11.200000,0.969500
11.210000,0.969500
11.220000,0.969500
11.230000,0.969500
11.240000,0.969500
11.250000,0.969500
11.260000,0.969500
11.270000,0.969500
11.280000,0.969500
11.290000,0.969500
11.300000,0.969500
11.310000,0.969500
11.320000,0.969500
11.330000,0.969500
11.340000,0.969500
11.350000,0.969500
11.360000,0.969250
11.370000,0.969250
11.380000,0.969250
11.390000,0.969250
11.400000,0.969000
11.410000,0.969000
11.420000,0.969000
11.430000,0.969000
11.440000,0.969000
11.450000,0.969000
11.460000,0.969000
11.470000,0.969000
11.480000,0.969000
11.490000,0.969000
11.500000,0.969000
11.510000,0.968750
11.520000,0.968750
11.530000,0.968750
11.540000,0.968750
11.550000,0.968750
11.560000,0.968750
11.570000,0.968750
11.580000,0.968750
11.590000,0.968750
11.600000,0.968750
11.610000,0.968750
11.620000,0.968750
11.630000,0.968750
11.640000,0.968750
11.650000,0.968750
11.660000,0.968750
11.670000,0.968750
11.680000,0.968750
11.690000,0.968750
11.700000,0.968750
11.710000,0.968750
11.720000,0.968750
11.730000,0.968750
11.740000,0.968750
11.750000,0.968750
11.760000,0.968750
11.770000,0.968750
11.780000,0.968750
11.790000,0.968750
11.800000,0.968500
11.810000,0.968500
11.820000,0.968500
11.830000,0.968500
11.840000,0.968500
11.850000,0.968500
11.860000,0.968500
11.870000,0.968500
11.880000,0.968250
11.890000,0.968250
11.900000,0.968250
11.910000,0.968250
11.920000,0.968250
11.930000,0.968000
11.940000,0.968000
11.950000,0.968000
11.960000,0.968000
11.970000,0.968000
11.980000,0.968000
11.990000,0.968000
12.000000,0.968000
